focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.9817083,-0.1887904,0.02411434,-11.98164,9.783601,8.237618,User_19,2,1,2,2
FocusIn,-0.9092968,-0.3862072,0.15492,-11.99106,9.777509,8.239637,User_19,2,1,2,2
FocusIn,-0.9507267,-0.2915736,-0.1052125,-11.97797,9.78337,8.239697,User_19,2,1,2,2
FocusIn,-0.930715,-0.3639862,0.03580708,-11.97201,9.775838,8.266319,User_19,2,1,2,2
FocusIn,-0.9477381,-0.3178664,0.02692654,-11.96977,9.776468,8.266435,User_19,2,1,2,2
FocusIn,-0.9131813,-0.3932468,-0.1069189,-11.97007,9.77577,8.266905,User_19,2,1,2,2
FocusIn,-0.9434612,-0.3283398,-0.04519143,-11.96655,9.776663,8.266681,User_19,2,1,2,2
FocusIn,-0.9539874,-0.2994459,-0.01436587,-11.96528,9.77708,8.26534,User_19,2,1,2,2
FocusIn,-0.9409052,-0.3350793,-0.04909839,-11.96687,9.779659,8.257354,User_19,2,1,2,2
FocusIn,-0.9012261,-0.3679963,0.2288003,-11.96883,9.779863,8.253473,User_19,2,1,2,2
FocusIn,-0.9353699,-0.249367,0.2507496,-11.96698,9.783973,8.245944,User_19,2,1,2,2
FocusIn,-0.9354625,-0.2487686,0.2509988,-11.96697,9.783979,8.245839,User_19,2,1,2,2
FocusIn,-0.8995065,0.103803,0.4243832,-11.96236,9.783617,8.24267,User_19,2,1,2,2
FocusIn,-0.8876677,-0.1226617,0.4438095,-11.96033,9.784475,8.23917,User_19,2,1,2,2
FocusIn,-0.9016663,-0.06920356,0.4268504,-11.95803,9.785562,8.237186,User_19,2,1,2,2
FocusIn,-0.9017546,-0.1387628,0.4093501,-11.95659,9.785489,8.235657,User_19,2,1,2,2
FocusIn,-0.9215339,-0.04288282,0.3858924,-11.95717,9.783959,8.233294,User_19,2,1,2,2
FocusIn,-0.8963913,-0.3301852,0.2956901,-11.96238,9.783171,8.233423,User_19,2,1,2,2
FocusIn,-0.7909833,-0.5613991,0.2432319,-11.95869,9.777086,8.231525,User_19,2,1,2,2
FocusIn,-0.7384191,-0.6564195,0.1543773,-11.9552,9.777251,8.231133,User_19,2,1,2,2
FocusIn,-0.8732581,-0.3825578,0.3017399,-11.95494,9.776163,8.230368,User_19,2,1,2,2
FocusIn,-0.8346694,-0.08335666,0.5443905,-11.89112,9.778807,8.219408,User_19,2,1,2,2
FocusIn,-0.8069668,-0.5545986,0.2029898,-11.89763,9.779814,8.22139,User_19,2,1,2,2
FocusIn,-0.8069062,-0.5546911,0.2029778,-11.89756,9.779787,8.221374,User_19,2,1,2,2
FocusIn,-0.7945116,-0.6036901,0.06545872,-11.90116,9.77978,8.222196,User_19,2,1,2,2
FocusIn,-0.9052849,-0.3532674,0.2358882,-11.89188,9.779387,8.217645,User_19,2,1,2,2
FocusIn,-0.9063229,-0.3490467,0.238175,-11.88568,9.779098,8.2169,User_19,2,1,2,2
FocusIn,-0.8281518,-0.463332,0.3153939,-11.89243,9.778278,8.211926,User_19,2,1,2,2
FocusIn,-0.8281698,-0.4633844,0.3152695,-11.89257,9.778316,8.211893,User_19,2,1,2,2
FocusIn,-0.6590899,-0.7520269,0.005347417,-11.89779,9.775888,8.215147,User_19,2,1,2,2
FocusIn,-0.9177841,-0.3710628,0.1413309,-11.88182,9.776775,8.209944,User_19,2,1,2,2
FocusIn,-0.9006035,-0.3705915,0.2270565,-11.88498,9.776308,8.211755,User_19,2,1,2,2
FocusIn,-0.9408521,-0.3287342,0.08190638,-11.89377,9.770353,8.220751,User_19,2,1,2,2
FocusIn,-0.8872408,-0.4598928,0.03578084,-11.895,9.771263,8.220908,User_19,2,1,2,2
FocusIn,-0.8851491,-0.4158842,0.2086552,-11.8944,9.772041,8.220482,User_19,2,1,2,2
FocusIn,-0.8064466,-0.5213436,0.2789459,-11.89834,9.778563,8.2156,User_19,2,1,2,2
FocusIn,-0.7777728,-0.5663705,0.2725068,-11.90004,9.778819,8.215571,User_19,2,1,2,2
FocusIn,-0.9973581,0.007277671,0.07206313,-11.89318,9.78193,8.212477,User_19,2,1,2,2
FocusIn,-0.9233638,-0.325849,0.2029955,-11.90208,9.781624,8.214962,User_19,2,1,2,2
FocusIn,-0.9645007,-0.2369441,0.1164911,-11.90193,9.782159,8.214979,User_19,2,1,2,2
FocusIn,-0.9603143,-0.2335182,0.1524245,-11.90239,9.78244,8.214884,User_19,2,1,2,2
FocusIn,-0.9345678,-0.2925676,0.2024024,-11.90498,9.784094,8.213703,User_19,2,1,2,2
FocusIn,-0.9346057,-0.292515,0.2023041,-11.90503,9.784122,8.213685,User_19,2,1,2,2
FocusIn,-0.9516129,-0.300626,-0.06343875,-11.86279,9.806245,8.145581,User_19,2,1,2,2
FocusIn,-0.9369299,-0.2526059,0.2415031,-11.90492,9.784204,8.212995,User_19,2,1,2,2
FocusIn,-0.9345874,-0.3555672,-0.01001514,-11.90538,9.784375,8.213309,User_19,2,1,2,2
FocusIn,-0.8656138,-0.4963711,0.06563514,-11.90133,9.784648,8.213391,User_19,2,1,2,2
FocusIn,-0.9623695,-0.2710084,-0.01967137,-11.90801,9.798728,8.158929,User_19,2,1,2,2
FocusIn,-0.9470134,-0.3158512,-0.05816808,-11.91144,9.79934,8.160012,User_19,2,1,2,2
FocusIn,-0.9359202,-0.2248587,0.2710399,-11.90577,9.786715,8.220543,User_19,2,1,2,2
FocusIn,-0.9479622,-0.1700614,0.2691106,-11.90377,9.786742,8.220476,User_19,2,1,2,2
FocusIn,-0.9163544,-0.2424076,0.3186091,-11.9078,9.786341,8.22153,User_19,2,1,2,2
FocusIn,-0.9548286,-0.2523039,0.1569282,-11.89707,9.787881,8.217348,User_19,2,1,2,2
FocusIn,-0.9627073,-0.2437102,0.1173557,-11.89641,9.790472,8.205622,User_19,2,1,2,2
FocusIn,-0.9111176,-0.3513269,0.2154458,-11.8963,9.787194,8.21702,User_19,2,1,2,2
FocusIn,-0.9004041,-0.3986442,0.1741972,-11.89435,9.787907,8.216287,User_19,2,1,2,2
FocusIn,-0.9475573,-0.2634324,0.1808991,-11.89185,9.788311,8.212351,User_19,2,1,2,2
FocusIn,-0.9536697,-0.2618282,0.1481165,-11.89455,9.791856,8.190318,User_19,2,1,2,2
FocusIn,-0.9870903,-0.13559,0.08516703,-11.88979,9.78861,8.212109,User_19,2,1,2,2
FocusIn,-0.9902442,-0.09415003,0.1025907,-11.88893,9.788532,8.21312,User_19,2,1,2,2
FocusIn,-0.9914581,-0.09473664,0.08948978,-11.89011,9.788383,8.212519,User_19,2,1,2,2
FocusIn,-0.980147,-0.1064101,0.1672289,-11.8799,9.796832,8.206502,User_19,2,1,2,2
FocusIn,-0.9917024,-0.09999268,0.0807005,-11.87514,9.803478,8.172057,User_19,2,1,2,2
FocusIn,-0.9996061,-0.02797809,8.3e-05,-11.87172,9.804739,8.167539,User_19,2,1,2,2
FocusIn,-0.9968472,-0.0515594,0.06016733,-11.86079,9.802983,8.189527,User_19,2,1,2,2
FocusIn,-0.9985006,0.01425762,0.05275765,-11.86036,9.801287,8.20124,User_19,2,1,2,2
