focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.9390064,-0.1760583,-0.2953668,-12.56597,9.5649,8.091093,User_8,2,1,2,2
FocusIn,-0.9371855,-0.1343032,-0.321904,-12.55194,9.58147,8.129072,User_8,2,1,2,2
FocusIn,-0.8634447,-0.4082546,-0.2962855,-12.54905,9.576902,8.124264,User_8,2,1,2,2
FocusIn,-0.9470723,-0.1095949,-0.3016921,-12.55198,9.570579,8.120692,User_8,2,1,2,2
FocusIn,-0.9320324,-0.1270944,-0.3393232,-12.56561,9.571306,8.148056,User_8,2,1,2,2
FocusIn,-0.8531491,-0.5132599,-0.09323923,-12.54119,9.571788,8.108375,User_8,2,1,2,2
FocusIn,-0.91421,-0.1523657,-0.3754625,-12.56477,9.572863,8.151411,User_8,2,1,2,2
FocusIn,-0.9001844,-0.365178,-0.237252,-12.55079,9.571048,8.128956,User_8,2,1,2,2
FocusIn,-0.9435654,-0.07793175,-0.321837,-12.53668,9.562854,8.093026,User_8,2,1,2,2
FocusIn,-0.8786052,-0.300297,-0.3713033,-12.56584,9.559855,8.147962,User_8,2,1,2,2
FocusIn,-0.9006566,0.3197657,-0.2942155,-12.53763,9.578905,8.127713,User_8,2,1,2,2
FocusIn,-0.8274159,-0.4339706,-0.3564363,-12.54154,9.580091,8.124612,User_8,2,1,2,2
FocusIn,-0.9171241,-0.02808907,-0.3975849,-12.53898,9.579095,8.125401,User_8,2,1,2,2
FocusIn,-0.9240378,-0.1536662,-0.3500434,-12.53675,9.581235,8.126712,User_8,2,1,2,2
FocusIn,-0.7714731,-0.5302325,-0.3516543,-12.52568,9.579702,8.09741,User_8,2,1,2,2
FocusIn,-0.8957329,0.1829229,-0.4051893,-12.50918,9.584661,8.106965,User_8,2,1,2,2
FocusIn,-0.9387498,-0.06749784,-0.3379185,-12.53669,9.56669,8.178385,User_8,2,1,2,2
FocusIn,-0.9467146,-0.05805637,-0.3167501,-12.54333,9.56764,8.176184,User_8,2,1,2,2
FocusIn,-0.9446898,-0.06299315,-0.3218122,-12.54627,9.567818,8.176418,User_8,2,1,2,2
FocusIn,-0.8802991,-0.3786871,-0.2857304,-12.52013,9.573548,8.131566,User_8,2,1,2,2
FocusIn,-0.9431095,-0.09807442,-0.3176621,-12.54768,9.573553,8.182435,User_8,2,1,2,2
FocusIn,-0.9435409,-0.09250923,-0.3180285,-12.55029,9.574998,8.183826,User_8,2,1,2,2
FocusIn,-0.9094945,0.0466357,-0.4130669,-12.5457,9.588393,8.183146,User_8,2,1,2,2
FocusIn,-0.8843001,0.2088146,-0.4176136,-12.52901,9.587489,8.174056,User_8,2,1,2,2
FocusIn,-0.8605904,0.2100533,-0.4639263,-12.54488,9.586655,8.217812,User_8,2,1,2,2
FocusIn,-0.8655257,0.2150345,-0.4523233,-12.53635,9.587751,8.203259,User_8,2,1,2,2
FocusIn,-0.8357471,0.2735402,-0.4761219,-12.52718,9.590089,8.183851,User_8,2,1,2,2
FocusIn,-0.8091762,0.3554401,-0.4678584,-12.51854,9.592722,8.164992,User_8,2,1,2,2
FocusIn,-0.7796071,0.3520401,-0.5179259,-12.53803,9.596769,8.205444,User_8,2,1,2,2
FocusIn,-0.7466767,0.3828687,-0.5439362,-12.52961,9.601492,8.191092,User_8,2,1,2,2
FocusIn,-0.7276955,0.4349444,-0.5303383,-12.50666,9.605105,8.162852,User_8,2,1,2,2
FocusIn,-0.7332783,0.4379792,-0.5200405,-12.50017,9.605227,8.154616,User_8,2,1,2,2
FocusIn,-0.7353223,0.4103692,-0.5393422,-12.49768,9.605667,8.158994,User_8,2,1,2,2
FocusIn,-0.7352,0.4103204,-0.539546,-12.49761,9.605662,8.158998,User_8,2,1,2,2
FocusIn,-0.711709,0.4116254,-0.5692271,-12.5084,9.605589,8.178599,User_8,2,1,2,2
FocusIn,-0.7115321,0.4115229,-0.5695223,-12.50833,9.605564,8.178609,User_8,2,1,2,2
FocusIn,-0.681179,0.3334541,-0.6517498,-12.51983,9.605136,8.196665,User_8,2,1,2,2
FocusIn,-0.6809031,0.3334151,-0.6520579,-12.51977,9.605113,8.196674,User_8,2,1,2,2
FocusIn,-0.6746836,0.1318319,-0.7262274,-12.50385,9.604012,8.175536,User_8,2,1,2,2
FocusIn,-0.676938,0.05779504,-0.7337573,-12.50279,9.603847,8.176249,User_8,2,1,2,2
FocusIn,-0.6950106,0.05671385,-0.7167526,-12.48965,9.603745,8.157412,User_8,2,1,2,2
FocusIn,-0.6333761,-0.1366074,-0.761677,-12.51608,9.601813,8.198625,User_8,2,1,2,2
FocusIn,-0.6421476,-0.1432675,-0.7530563,-12.50671,9.600682,8.183843,User_8,2,1,2,2
FocusIn,-0.6418548,-0.1438801,-0.753189,-12.50672,9.600638,8.183846,User_8,2,1,2,2
FocusIn,-0.642076,-0.1442532,-0.7529432,-12.50748,9.600199,8.184566,User_8,2,1,2,2
FocusIn,-0.6677295,-0.1372258,-0.731642,-12.49117,9.597874,8.158841,User_8,2,1,2,2
FocusIn,-0.6632567,-0.1431983,-0.7345462,-12.49391,9.597589,8.161705,User_8,2,1,2,2
FocusIn,-0.7317169,-0.08674595,-0.6760591,-12.48599,9.594097,8.160264,User_8,2,1,2,2
FocusIn,-0.711418,-0.09097374,-0.6968459,-12.504,9.591886,8.187369,User_8,2,1,2,2
FocusIn,-0.7337297,-0.07576893,-0.6751972,-12.48884,9.591534,8.163576,User_8,2,1,2,2
FocusIn,-0.720452,-0.08809011,-0.6878743,-12.50567,9.590668,8.19026,User_8,2,1,2,2
FocusIn,-0.8882855,-0.01770332,-0.4589309,-12.49692,9.590111,8.176314,User_8,2,1,2,2
FocusIn,-0.927724,0.00308646,-0.3732384,-12.49709,9.589669,8.176043,User_8,2,1,2,2
FocusIn,-0.9391431,0.01816798,-0.3430266,-12.48115,9.589504,8.150419,User_8,2,1,2,2
FocusIn,-0.943167,0.01273886,-0.3320444,-12.48232,9.589203,8.15011,User_8,2,1,2,2
FocusIn,-0.9399628,0.00878797,-0.3411245,-12.48584,9.58925,8.156094,User_8,2,1,2,2
FocusIn,-0.9150473,-0.01226851,-0.403127,-12.50955,9.589799,8.19481,User_8,2,1,2,2
FocusIn,-0.9089351,0.03987094,-0.4150018,-12.51326,9.590287,8.208003,User_8,2,1,2,2
FocusIn,-0.930128,0.04661192,-0.3642281,-12.4856,9.589653,8.172609,User_8,2,1,2,2
FocusIn,-0.9112787,0.03808222,-0.4100016,-12.50245,9.589136,8.203749,User_8,2,1,2,2
FocusIn,-0.9358947,0.03158158,-0.3508253,-12.47799,9.591953,8.160593,User_8,2,1,2,2
