focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,0.2329468,-0.005974446,0.9724551,-13.53503,9.846401,8.067037,User_25,2,3,5,2
FocusIn,0.1191136,0.08138148,0.9895301,-13.56744,9.847847,8.092588,User_25,2,3,5,2
FocusIn,-0.01508466,0.180341,0.9834742,-13.53228,9.849838,8.060607,User_25,2,3,5,2
FocusIn,-0.0102953,0.2032316,0.9790694,-13.53389,9.850091,8.063332,User_25,2,3,5,2
FocusIn,0.1312109,0.08236531,0.9879256,-13.58722,9.860543,8.081799,User_25,2,3,5,2
FocusIn,-0.01024151,0.2224648,0.9748799,-13.54449,9.852432,8.068262,User_25,2,3,5,2
FocusIn,0.04008651,0.1972176,0.9795249,-13.54065,9.853927,8.06358,User_25,2,3,5,2
FocusIn,0.05287363,0.1466188,0.9877677,-13.60324,9.862827,8.077924,User_25,2,3,5,2
FocusIn,0.05003963,0.1323778,0.989928,-13.58473,9.861873,8.06952,User_25,2,3,5,2
FocusIn,0.03426971,0.1781979,0.9833845,-13.58022,9.860686,8.068874,User_25,2,3,5,2
FocusIn,-0.0073901,0.2127446,0.977073,-13.57555,9.861049,8.065495,User_25,2,3,5,2
FocusIn,-0.08719686,0.1528408,0.9843844,-13.60404,9.866158,8.064044,User_25,2,3,5,2
FocusIn,-0.07747059,0.07244268,0.9943491,-13.56948,9.864691,8.0538,User_25,2,3,5,2
FocusIn,-0.1254087,0.2306359,0.9649085,-13.58172,9.862625,8.060742,User_25,2,3,5,2
FocusIn,-0.1272544,0.2309361,0.964595,-13.58204,9.862622,8.060695,User_25,2,3,5,2
FocusIn,-0.1339011,0.2007705,0.9704385,-13.63353,9.867074,8.067122,User_25,2,3,5,2
FocusIn,-0.1322794,0.2204553,0.966379,-13.62543,9.865243,8.064045,User_25,2,3,5,2
FocusIn,-0.131086,0.2124073,0.9683365,-13.63058,9.864927,8.06323,User_25,2,3,5,2
FocusIn,-0.1324911,0.2122883,0.9681713,-13.63076,9.864777,8.063113,User_25,2,3,5,2
FocusIn,-0.1435691,0.2047895,0.9682128,-13.63334,9.864057,8.063107,User_25,2,3,5,2
FocusIn,-0.316496,0.1666388,0.9338275,-13.65035,9.864864,8.062694,User_25,2,3,5,2
FocusIn,-0.4719996,-0.004532429,0.8815764,-13.70028,9.849757,8.096253,User_25,2,3,5,2
FocusIn,-0.6187045,-0.03158534,0.7849781,-13.67683,9.845259,8.112422,User_25,2,3,5,2
FocusIn,-0.6276674,-0.003672821,0.7784587,-13.68255,9.844211,8.116983,User_25,2,3,5,2
FocusIn,-0.6259432,-0.02387744,0.7794841,-13.68827,9.844392,8.12287,User_25,2,3,5,2
FocusIn,-0.6200753,-0.0429568,0.783362,-13.73755,9.846837,8.125026,User_25,2,3,5,2
FocusIn,-0.8245222,0.09474282,0.5578363,-13.73306,9.844861,8.149207,User_25,2,3,5,2
FocusIn,-0.7830599,0.02259325,0.6215302,-13.7776,9.848326,8.151396,User_25,2,3,5,2
FocusIn,-0.6307766,-0.05138721,0.7742564,-13.70827,9.846147,8.218597,User_25,2,3,5,2
FocusIn,-0.6496354,-0.06605157,0.7573627,-13.72569,9.848585,8.201259,User_25,2,3,5,2
FocusIn,-0.6391121,-0.07135915,0.7657873,-13.71791,9.847803,8.205411,User_25,2,3,5,2
FocusIn,-0.5914406,-0.08379871,0.801981,-13.71043,9.847282,8.209468,User_25,2,3,5,2
FocusIn,-0.5913349,-0.08623677,0.8017957,-13.70164,9.846726,8.215106,User_25,2,3,5,2
FocusIn,-0.5906688,-0.0865024,0.802258,-13.70124,9.846712,8.215312,User_25,2,3,5,2
FocusIn,-0.5976668,-0.0790154,0.7978386,-13.70573,9.847427,8.21074,User_25,2,3,5,2
FocusIn,-0.5896562,-0.06621896,0.8049324,-13.66527,9.842852,8.238404,User_25,2,3,5,2
FocusIn,-0.4829232,-0.03892623,0.874782,-13.68847,9.847748,8.220701,User_25,2,3,5,2
FocusIn,-0.4852249,-0.03789284,0.8735504,-13.68882,9.848291,8.220532,User_25,2,3,5,2
FocusIn,-0.4871163,-0.04243091,0.8722975,-13.68248,9.847694,8.224157,User_25,2,3,5,2
FocusIn,-0.486606,-0.04240275,0.8725836,-13.68246,9.847709,8.224173,User_25,2,3,5,2
FocusIn,-0.4812448,-0.03724986,0.8757784,-13.67471,9.846647,8.228498,User_25,2,3,5,2
FocusIn,-0.1026702,-0.04889778,0.993497,-13.71671,9.85311,8.220284,User_25,2,3,5,2
FocusIn,-0.1018303,-0.04649302,0.9937084,-13.71859,9.85319,8.223186,User_25,2,3,5,2
FocusIn,-0.09966727,-0.04596282,0.9939523,-13.7187,9.853214,8.223481,User_25,2,3,5,2
FocusIn,-0.007482129,0.1256765,0.9920313,-13.70451,9.863247,8.260413,User_25,2,3,5,2
FocusIn,-0.0238905,0.1262412,0.9916962,-13.67889,9.864137,8.266078,User_25,2,3,5,2
FocusIn,-0.02245351,0.127582,0.9915581,-13.67875,9.864234,8.26625,User_25,2,3,5,2
FocusIn,-0.03039294,0.1533265,0.9876935,-13.7064,9.870218,8.263099,User_25,2,3,5,2
FocusIn,0.09880373,0.3944958,0.9135604,-13.69798,9.879996,8.272282,User_25,2,3,5,2
FocusIn,0.08504532,0.371931,0.9243466,-13.6721,9.884172,8.27143,User_25,2,3,5,2
FocusIn,-0.02704596,0.5462977,0.8371388,-13.65443,9.888431,8.269082,User_25,2,3,5,2
FocusIn,-0.0297224,0.5891789,0.8074529,-13.67015,9.896405,8.260489,User_25,2,3,5,2
FocusIn,-0.06510105,0.5632122,0.8237415,-13.69283,9.90353,8.245345,User_25,2,3,5,2
FocusIn,-0.1910451,0.6122145,0.7672481,-13.69181,9.904186,8.242762,User_25,2,3,5,2
FocusIn,-0.1918741,0.6133673,0.7661196,-13.69182,9.904284,8.242567,User_25,2,3,5,2
FocusIn,-0.3120797,0.6434497,0.6989713,-13.63452,9.899293,8.256686,User_25,2,3,5,2
FocusIn,-0.307401,0.6245781,0.717911,-13.65018,9.901831,8.250757,User_25,2,3,5,2
FocusIn,-0.3879736,0.6721337,0.6306342,-13.6714,9.905639,8.243912,User_25,2,3,5,2
FocusIn,-0.6494232,0.6480907,0.3977654,-13.67491,9.907724,8.241305,User_25,2,3,5,2
FocusIn,-0.6429041,0.6510655,0.4034301,-13.67994,9.90826,8.238555,User_25,2,3,5,2
FocusIn,-0.7568954,0.5841489,0.2930361,-13.68349,9.902842,8.256129,User_25,2,3,5,2
FocusIn,-0.8045144,0.5356851,0.2564774,-13.71477,9.904943,8.208622,User_25,2,3,5,2
FocusIn,-0.806038,0.5311689,0.2610447,-13.71359,9.903455,8.21208,User_25,2,3,5,2
FocusIn,-0.8199604,0.5004564,0.2778553,-13.7216,9.902888,8.192336,User_25,2,3,5,2
FocusIn,-0.8989719,0.4308086,0.07888272,-13.71298,9.899555,8.216901,User_25,2,3,5,2
FocusIn,-0.8996118,0.430049,0.07566706,-13.71312,9.899526,8.21659,User_25,2,3,5,2
FocusIn,-0.8932998,0.4062016,0.1923645,-13.69773,9.898445,8.243636,User_25,2,3,5,2
FocusIn,-0.8938851,0.4057626,0.1905631,-13.69785,9.898437,8.243512,User_25,2,3,5,2
FocusIn,-0.8964601,0.4253871,0.1240585,-13.70459,9.898601,8.234404,User_25,2,3,5,2
FocusIn,-0.8971291,0.4246723,0.121648,-13.70474,9.898569,8.234207,User_25,2,3,5,2
FocusIn,-0.9064656,0.4209168,0.0336009,-13.72725,9.899412,8.180771,User_25,2,3,5,2
FocusIn,-0.8615704,0.5054967,0.04636238,-13.71302,9.896965,8.23863,User_25,2,3,5,2
FocusIn,-0.91584,0.3957227,0.06800802,-13.72438,9.898051,8.183186,User_25,2,3,5,2
FocusIn,-0.8920087,0.4390882,0.1073191,-13.73108,9.896885,8.180593,User_25,2,3,5,2
FocusIn,-0.9619632,0.2727332,0.01512209,-13.72791,9.890368,8.167134,User_25,2,3,5,2
FocusIn,-0.9975256,0.06551213,-0.02503214,-13.73341,9.877285,8.163826,User_25,2,3,5,2
FocusIn,-0.9998383,0.006360551,-0.01674611,-13.73496,9.858607,8.212831,User_25,2,3,5,2
FocusIn,-0.999505,-0.004790233,-0.03099319,-13.73755,9.860783,8.158631,User_25,2,3,5,2
FocusIn,-0.981094,-0.1932168,-0.01029032,-13.73884,9.843682,8.182018,User_25,2,3,5,2
FocusIn,-0.9658421,-0.2576606,-0.02727107,-13.73965,9.843939,8.153861,User_25,2,3,5,2
FocusIn,-0.9500539,-0.3114342,-0.01958314,-13.74188,9.825678,8.15325,User_25,2,3,5,2
FocusIn,-0.9414193,-0.3372091,-0.003500939,-13.74035,9.810941,8.198454,User_25,2,3,5,2
FocusIn,-0.8859962,-0.4579119,-0.07295772,-13.74171,9.813121,8.160108,User_25,2,3,5,2
FocusIn,-0.8830909,-0.4633352,-0.07387862,-13.7404,9.805737,8.183761,User_25,2,3,5,2
FocusIn,-0.880098,-0.3722076,-0.2947353,-13.73315,9.780859,8.202223,User_25,2,3,5,2
FocusIn,-0.7713145,-0.2800283,-0.5715306,-13.72367,9.791092,8.156195,User_25,2,3,5,2
FocusIn,-0.7737871,-0.3012584,-0.5571945,-13.71962,9.798645,8.12364,User_25,2,3,5,2
FocusIn,-0.7745134,-0.281414,-0.5664995,-13.74104,9.796596,8.143928,User_25,2,3,5,2
FocusIn,-0.7750829,-0.3219864,-0.5436585,-13.73915,9.802178,8.118859,User_25,2,3,5,2
FocusIn,-0.6772882,-0.324609,-0.6602278,-13.76073,9.801811,8.104876,User_25,2,3,5,2
FocusIn,-0.6717579,-0.3396735,-0.6582759,-13.76255,9.803112,8.096806,User_25,2,3,5,2
FocusIn,-0.6799826,-0.3384735,-0.6504149,-13.79249,9.80138,8.087705,User_25,2,3,5,2
FocusIn,-0.6776111,-0.3462448,-0.6488073,-13.81099,9.800902,8.080624,User_25,2,3,5,2
FocusIn,-0.7134268,-0.2120013,-0.6678842,-13.85641,9.805178,8.101207,User_25,2,3,5,2
FocusIn,-0.6927845,-0.1223524,-0.7106766,-13.86623,9.807448,8.082202,User_25,2,3,5,2
FocusIn,-0.6882907,-0.1241169,-0.7147201,-13.87768,9.813392,8.069055,User_25,2,3,5,2
FocusIn,-0.6867926,-0.1406182,-0.713119,-13.87899,9.816428,8.059144,User_25,2,3,5,2
FocusIn,-0.6902118,-0.1268865,-0.7123876,-13.9194,9.81359,8.083294,User_25,2,3,5,2
FocusIn,-0.7023525,-0.1067253,-0.7037626,-13.92406,9.821088,8.064478,User_25,2,3,5,2
FocusIn,-0.7432169,-0.0590634,-0.6664134,-13.9149,9.827053,8.043292,User_25,2,3,5,2
FocusIn,-0.7817555,0.006397363,-0.6235403,-13.92117,9.828458,8.040404,User_25,2,3,5,2
FocusIn,-0.7758106,0.0371855,-0.6298425,-13.9266,9.829604,8.03849,User_25,2,3,5,2
FocusIn,-0.7637975,0.006505083,-0.6454059,-13.93696,9.832323,8.044254,User_25,2,3,5,2
FocusIn,-0.765029,0.03227557,-0.6431844,-13.97485,9.829712,8.077888,User_25,2,3,5,2
FocusIn,-0.6471338,0.1117149,-0.7541392,-13.97955,9.843215,8.038488,User_25,2,3,5,2
FocusIn,-0.6357508,0.1409209,-0.7589078,-14.00488,9.841112,8.05763,User_25,2,3,5,2
FocusIn,-0.6336639,0.1287828,-0.7627966,-14.03823,9.843923,8.051294,User_25,2,3,5,2
FocusIn,-0.6345847,0.1323099,-0.7614267,-14.05435,9.84228,8.05778,User_25,2,3,5,2
FocusIn,-0.5141729,0.1524284,-0.8440292,-14.10664,9.842188,8.038699,User_25,2,3,5,2
FocusIn,-0.5128717,0.1572407,-0.8439255,-14.12253,9.841729,8.041795,User_25,2,3,5,2
FocusIn,-0.5161555,0.1408575,-0.8448163,-14.13257,9.84286,8.040947,User_25,2,3,5,2
