focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,0.6260976,0.1259604,-0.7694966,-13.59933,9.905896,8.839911,User_35,1,1,3,1
FocusIn,0.1603257,0.1413448,-0.9768862,-13.62809,9.913198,8.861701,User_35,1,1,3,1
FocusIn,-0.08217116,0.2300704,-0.9696904,-13.66399,9.920954,8.870738,User_35,1,1,3,1
FocusIn,-0.06645618,0.2092857,-0.9755905,-13.65729,9.921274,8.880331,User_35,1,1,3,1
FocusIn,-0.05131156,0.2039912,-0.9776248,-13.6394,9.920414,8.886551,User_35,1,1,3,1
FocusIn,-0.1562008,0.3420354,-0.926608,-13.60931,9.917537,8.886184,User_35,1,1,3,1
FocusIn,-0.1999838,0.4331599,-0.8788363,-13.63023,9.921005,8.890265,User_35,1,1,3,1
FocusIn,-0.2215789,0.495858,-0.8396544,-13.59721,9.935573,8.908331,User_35,1,1,3,1
FocusIn,-0.2478236,0.5764993,-0.7785975,-13.59237,9.936318,8.907833,User_35,1,1,3,1
FocusIn,-0.2933555,0.608697,-0.7371637,-13.61752,9.941696,8.918307,User_35,1,1,3,1
FocusIn,-0.4917696,0.612171,-0.6191909,-13.58977,9.944986,8.926285,User_35,1,1,3,1
FocusIn,-0.07571971,0.5795345,-0.8114176,-13.57649,9.806513,8.952864,User_35,1,1,3,1
FocusIn,0.05241828,0.5911985,-0.8047982,-13.62128,9.814521,8.971478,User_35,1,1,3,1
FocusIn,0.05472777,0.5914578,-0.8044538,-13.62121,9.814566,8.97139,User_35,1,1,3,1
FocusIn,0.4311021,0.4127286,-0.8023599,-13.62273,9.811141,8.92301,User_35,1,1,3,1
FocusIn,0.4456087,0.4118029,-0.7948757,-13.62559,9.811124,8.919726,User_35,1,1,3,1
FocusIn,0.4356968,0.4193313,-0.7964464,-13.62538,9.810858,8.918097,User_35,1,1,3,1
FocusIn,0.4432464,0.4092727,-0.7974989,-13.62459,9.810324,8.917896,User_35,1,1,3,1
FocusIn,0.7255179,0.2473833,-0.6422002,-13.5882,9.798978,8.931763,User_35,1,1,3,1
FocusIn,0.7003157,0.2659989,-0.6624095,-13.62224,9.801847,8.902792,User_35,1,1,3,1
FocusIn,0.8106692,0.2058647,-0.5481166,-13.62748,9.796175,8.873284,User_35,1,1,3,1
FocusIn,0.8125468,0.2048903,-0.5456961,-13.62738,9.796094,8.873182,User_35,1,1,3,1
FocusIn,0.8552678,0.185219,-0.4839366,-13.62812,9.795484,8.870292,User_35,1,1,3,1
FocusIn,0.2467953,-0.003825502,0.969047,-13.53129,9.776814,8.918219,User_35,1,1,3,1
FocusIn,-0.01171953,0.04395771,0.9989575,-13.56441,9.778864,8.930586,User_35,1,1,3,1
FocusIn,0.84604,0.1564586,0.5096235,-13.56657,9.783364,8.918268,User_35,1,1,3,1
FocusIn,0.9183494,0.142704,0.3691419,-13.5592,9.785151,8.916403,User_35,1,1,3,1
FocusIn,0.5635512,0.1059471,-0.8192416,-13.54802,9.791093,8.971189,User_35,1,1,3,1
FocusIn,0.1927562,0.1362616,-0.9717364,-13.5611,9.790682,8.967697,User_35,1,1,3,1
FocusIn,0.1984441,0.1289036,-0.9715958,-13.57175,9.790677,8.966859,User_35,1,1,3,1
FocusIn,0.2593783,0.1065206,-0.9598794,-13.56382,9.790802,8.974267,User_35,1,1,3,1
FocusIn,0.2581306,0.1346325,-0.9566761,-13.58447,9.791047,8.97466,User_35,1,1,3,1
FocusIn,0.07314209,0.1230807,-0.9896823,-13.56487,9.790595,8.987029,User_35,1,1,3,1
FocusIn,-0.04099419,0.1419175,-0.989017,-13.59915,9.790956,8.984992,User_35,1,1,3,1
FocusIn,-0.0150181,0.1227673,-0.9923114,-13.58362,9.789989,8.987329,User_35,1,1,3,1
FocusIn,-0.01202679,0.1227339,-0.9923588,-13.57936,9.789213,8.9884,User_35,1,1,3,1
FocusIn,-0.005659432,0.107087,-0.9942239,-13.57827,9.788671,8.989094,User_35,1,1,3,1
FocusIn,-0.01102645,0.1214392,-0.9925245,-13.60208,9.78455,8.985281,User_35,1,1,3,1
FocusIn,-0.3639706,0.1720813,-0.9153648,-13.64146,9.788935,8.984763,User_35,1,1,3,1
FocusIn,-0.3291471,0.1458486,-0.9329305,-13.62514,9.787703,8.973455,User_35,1,1,3,1
FocusIn,-0.02259876,0.2484503,-0.9683645,-13.669,9.791197,8.972788,User_35,1,1,3,1
FocusIn,-0.02154467,0.2486803,-0.9683296,-13.66902,9.791242,8.972685,User_35,1,1,3,1
FocusIn,-0.1527933,0.2420639,-0.9581531,-13.63455,9.790391,8.970799,User_35,1,1,3,1
FocusIn,-0.1752502,0.2705944,-0.9466069,-13.66187,9.791564,8.978002,User_35,1,1,3,1
FocusIn,-0.1747937,0.269268,-0.9470541,-13.65946,9.791371,8.978144,User_35,1,1,3,1
FocusIn,-0.1600211,0.2600982,-0.9522187,-13.64603,9.790336,8.979468,User_35,1,1,3,1
FocusIn,0.2251057,-0.03219848,-0.9737899,-13.61192,9.785742,9.020873,User_35,1,1,3,1
FocusIn,0.2296637,-0.04686642,-0.9721264,-13.59806,9.785239,9.024134,User_35,1,1,3,1
FocusIn,0.2318172,-0.0470182,-0.9716077,-13.59795,9.785222,9.024181,User_35,1,1,3,1
FocusIn,0.222062,-0.03713676,-0.9743114,-13.63374,9.787002,9.008679,User_35,1,1,3,1
FocusIn,0.213367,-0.0390834,-0.9761825,-13.63245,9.785739,9.005858,User_35,1,1,3,1
FocusIn,0.2051002,-0.001242939,-0.9787304,-13.63426,9.786381,9.007239,User_35,1,1,3,1
FocusIn,0.1519922,0.083482,-0.9848431,-13.60987,9.787782,9.012343,User_35,1,1,3,1
FocusIn,0.0712172,0.2573806,-0.9636751,-13.64156,9.790859,9.008625,User_35,1,1,3,1
FocusIn,-0.2544441,0.602852,-0.7561871,-13.65333,9.818258,9.041406,User_35,1,1,3,1
FocusIn,-0.3322522,0.5874278,-0.7379071,-13.65568,9.819249,9.047537,User_35,1,1,3,1
FocusIn,-0.4503315,0.5235025,-0.7232695,-13.62674,9.816279,9.051574,User_35,1,1,3,1
FocusIn,-0.5499169,0.4926775,-0.6744245,-13.62663,9.816387,9.052279,User_35,1,1,3,1
FocusIn,-0.6810699,0.43918,-0.5858781,-13.62953,9.816604,9.055617,User_35,1,1,3,1
FocusIn,-0.6621284,0.4311624,-0.6129273,-13.63655,9.816669,9.070897,User_35,1,1,3,1
FocusIn,-0.6606532,0.4239457,-0.6195128,-13.6344,9.81617,9.071801,User_35,1,1,3,1
FocusIn,-0.6445667,0.4351869,-0.628607,-13.63971,9.816162,9.078641,User_35,1,1,3,1
FocusIn,-0.7974091,0.376322,-0.4716955,-13.62952,9.813817,9.070969,User_35,1,1,3,1
FocusIn,-0.8886569,0.3392284,-0.3085586,-13.63867,9.813178,9.086686,User_35,1,1,3,1
FocusIn,-0.955251,0.1530082,-0.2531041,-13.62984,9.80525,9.085253,User_35,1,1,3,1
FocusIn,-0.9633873,0.1132166,-0.243005,-13.63293,9.801105,9.097721,User_35,1,1,3,1
FocusIn,-0.9658892,0.1236963,-0.2274319,-13.6369,9.800561,9.11725,User_35,1,1,3,1
FocusIn,-0.7651964,0.09199106,-0.6371739,-13.66789,9.795464,9.083159,User_35,1,1,3,1
FocusIn,-0.6760267,0.03671824,-0.7359411,-13.64796,9.791968,9.049457,User_35,1,1,3,1
FocusIn,-0.5691756,-0.002046948,-0.8222094,-13.64475,9.790814,9.042153,User_35,1,1,3,1
FocusIn,-0.5497548,0.01226991,-0.8352219,-13.65567,9.791211,9.047711,User_35,1,1,3,1
FocusIn,-0.5730538,0.01804104,-0.8193166,-13.67371,9.791822,9.053041,User_35,1,1,3,1
FocusIn,-0.5625919,0.0125459,-0.8266242,-13.67002,9.79108,9.046857,User_35,1,1,3,1
FocusIn,-0.5551578,-0.000537155,-0.8317319,-13.65186,9.788723,9.031404,User_35,1,1,3,1
FocusIn,-0.3418657,0.02500666,-0.9394138,-13.66158,9.78745,9.027912,User_35,1,1,3,1
FocusIn,-0.1941924,0.04233062,-0.9800441,-13.73622,9.780408,8.972965,User_35,1,1,3,1
FocusIn,-0.1902924,0.04472676,-0.980696,-13.74086,9.777855,8.944507,User_35,1,1,3,1
FocusIn,-0.08183505,0.1264633,-0.9885875,-13.76902,9.770935,8.757112,User_35,1,1,3,1
FocusIn,0.02999509,0.06603249,-0.9973643,-13.87462,9.758563,8.570537,User_35,1,1,3,1
FocusIn,0.02283437,0.1153938,-0.9930508,-13.88463,9.759229,8.562514,User_35,1,1,3,1
FocusIn,0.002945118,0.1158036,-0.9932579,-13.91231,9.760333,8.555192,User_35,1,1,3,1
FocusIn,-0.01791666,0.1273344,-0.9916947,-13.96099,9.761106,8.549937,User_35,1,1,3,1
FocusIn,0.002838089,0.09847844,-0.9951345,-13.9394,9.761964,8.543163,User_35,1,1,3,1
FocusIn,-0.0140602,0.1136071,-0.9934218,-13.98285,9.761847,8.523605,User_35,1,1,3,1
FocusIn,-0.004783474,0.1291037,-0.9916151,-13.99133,9.761754,8.51575,User_35,1,1,3,1
FocusIn,0.01140251,0.1015924,-0.9947598,-13.99259,9.762076,8.465292,User_35,1,1,3,1
FocusIn,0.02086651,0.09528238,-0.9952304,-14.0042,9.760786,8.447138,User_35,1,1,3,1
FocusIn,0.02078918,0.09510307,-0.9952492,-14.00468,9.760677,8.446264,User_35,1,1,3,1
FocusIn,0.01478445,0.1094985,-0.9938663,-14.03099,9.759444,8.435912,User_35,1,1,3,1
FocusIn,0.01888622,0.1126922,-0.9934487,-14.04575,9.753771,8.38963,User_35,1,1,3,1
FocusIn,0.01737628,0.113469,-0.9933817,-14.05182,9.752277,8.378483,User_35,1,1,3,1
