focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.6718565,0.1624666,-0.7226234,-13.57464,9.768716,9.051195,User_20,2,3,4,2
FocusIn,-0.5825239,0.184216,-0.7916453,-13.57642,9.769757,9.081181,User_20,2,3,4,2
FocusIn,-0.5702614,0.1862071,-0.8000748,-13.57041,9.770324,9.07822,User_20,2,3,4,2
FocusIn,-0.5707799,0.1734837,-0.8025642,-13.57371,9.768908,9.078763,User_20,2,3,4,2
FocusIn,-0.7386795,0.1343855,-0.6605036,-13.56889,9.76864,9.071509,User_20,2,3,4,2
FocusIn,-0.6929049,0.1421953,-0.7068509,-13.55637,9.770249,9.063045,User_20,2,3,4,2
FocusIn,-0.5727119,0.1493316,-0.8060387,-13.59543,9.764874,9.087488,User_20,2,3,4,2
FocusIn,-0.6806716,0.1786352,-0.7104561,-13.55826,9.771074,9.063316,User_20,2,3,4,2
FocusIn,-0.6869143,0.1795655,-0.7041984,-13.57115,9.769696,9.072803,User_20,2,3,4,2
FocusIn,-0.7821389,0.2447796,-0.5729966,-13.58598,9.768037,9.082685,User_20,2,3,4,2
FocusIn,-0.7776342,0.2469913,-0.5781595,-13.58002,9.768947,9.078684,User_20,2,3,4,2
FocusIn,-0.8930571,0.2239377,-0.3902293,-13.57517,9.770736,9.075534,User_20,2,3,4,2
FocusIn,-0.9346982,0.2149054,-0.2830581,-13.57758,9.770904,9.070993,User_20,2,3,4,2
FocusIn,-0.9337052,0.222658,-0.2803524,-13.5749,9.771538,9.067582,User_20,2,3,4,2
FocusIn,-0.9344841,0.2186721,-0.2809145,-13.6037,9.766301,9.092305,User_20,2,3,4,2
FocusIn,-0.9657348,0.1642352,-0.2009246,-13.58372,9.770697,9.066272,User_20,2,3,4,2
FocusIn,-0.970399,0.1632438,-0.1778966,-13.61395,9.763641,9.102199,User_20,2,3,4,2
FocusIn,-0.9621779,0.1534606,-0.2250418,-13.60737,9.76526,9.093825,User_20,2,3,4,2
FocusIn,-0.9697636,0.1171094,-0.2140789,-13.61372,9.763797,9.096455,User_20,2,3,4,2
FocusIn,-0.9943826,0.1055913,0.004858509,-13.61047,9.765724,9.087741,User_20,2,3,4,2
FocusIn,-0.9939836,0.1001546,0.0440562,-13.61974,9.763391,9.103575,User_20,2,3,4,2
FocusIn,-0.9959097,0.08800933,-0.02005969,-13.62854,9.761423,9.128971,User_20,2,3,4,2
FocusIn,-0.9385904,0.08830194,-0.333539,-13.63835,9.756731,9.169455,User_20,2,3,4,2
FocusIn,-0.8862244,0.2887789,-0.3621987,-13.64128,9.756262,9.169477,User_20,2,3,4,2
FocusIn,-0.876389,0.2718568,-0.3975081,-13.62382,9.764455,9.128767,User_20,2,3,4,2
FocusIn,-0.8844323,0.2686316,-0.3815749,-13.63182,9.761003,9.148248,User_20,2,3,4,2
FocusIn,-0.8894933,0.2717887,-0.3673228,-13.63328,9.760448,9.151821,User_20,2,3,4,2
