focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.6779653,-0.04238728,-0.7338606,-13.98677,9.793371,9.523199,User_32,2,2,3,1
FocusIn,-0.6894736,0.004551769,-0.7242937,-13.98153,9.793731,9.518981,User_32,2,2,3,1
FocusIn,-0.5961341,0.01267257,-0.8027763,-13.98023,9.7879,9.529425,User_32,2,2,3,1
FocusIn,-0.5096487,0.007850906,-0.8603384,-14.01531,9.784539,9.554863,User_32,2,2,3,1
FocusIn,-0.6259969,0.01833501,-0.7796043,-13.96747,9.790784,9.516154,User_32,2,2,3,1
FocusIn,-0.5934992,0.003521559,-0.8048227,-13.9865,9.793586,9.525822,User_32,2,2,3,1
FocusIn,-0.6329023,0.02723758,-0.7737396,-13.9683,9.796055,9.509627,User_32,2,2,3,1
FocusIn,-0.7569025,0.0709794,-0.6496489,-13.9879,9.797544,9.531166,User_32,2,2,3,1
FocusIn,-0.6911389,0.256657,-0.6755946,-13.96671,9.803366,9.513086,User_32,2,2,3,1
FocusIn,-0.6828153,0.2580516,-0.6834967,-13.96973,9.803288,9.516531,User_32,2,2,3,1
FocusIn,-0.6375639,0.2564347,-0.7264618,-13.98877,9.802496,9.53262,User_32,2,2,3,1
FocusIn,-0.6422041,0.2563871,-0.7223719,-13.9853,9.803003,9.529698,User_32,2,2,3,1
FocusIn,-0.6420342,0.2565699,-0.7224581,-13.98536,9.80312,9.529577,User_32,2,2,3,1
FocusIn,-0.5031462,0.296296,-0.8118114,-13.99627,9.802809,9.535756,User_32,2,2,3,1
FocusIn,-0.4314946,0.3299482,-0.8396103,-14.00096,9.803116,9.533916,User_32,2,2,3,1
FocusIn,-0.4845421,0.3165324,-0.8154714,-13.98879,9.80475,9.524072,User_32,2,2,3,1
FocusIn,-0.4844566,0.3168764,-0.8153885,-13.9888,9.804789,9.523995,User_32,2,2,3,1
FocusIn,-0.5438421,0.3008614,-0.7833964,-13.97649,9.80798,9.515635,User_32,2,2,3,1
FocusIn,-0.8431897,-0.1089356,-0.5264344,-13.96919,9.810751,9.490552,User_32,2,2,3,1
FocusIn,-0.7221894,0.08508381,-0.6864276,-14.0063,9.806054,9.534174,User_32,2,2,3,1
FocusIn,-0.665863,0.00012998,-0.7460582,-13.96066,9.811874,9.548407,User_32,2,2,3,1
FocusIn,-0.6478096,0.1020256,-0.7549251,-14.00789,9.805759,9.539227,User_32,2,2,3,1
FocusIn,-0.5644757,0.04866465,-0.8239983,-13.98873,9.806107,9.528158,User_32,2,2,3,1
FocusIn,-0.6046626,0.03828245,-0.7955538,-13.96186,9.808174,9.513339,User_32,2,2,3,1
FocusIn,-0.6052414,0.04353775,-0.7948465,-13.96166,9.807977,9.514342,User_32,2,2,3,1
FocusIn,-0.6343618,0.004062647,-0.7730237,-13.95081,9.805768,9.533651,User_32,2,2,3,1
FocusIn,-0.3953429,0.1825778,-0.900196,-13.97886,9.805475,9.541509,User_32,2,2,3,1
FocusIn,-0.4680377,0.1891747,-0.863219,-13.95612,9.808006,9.522132,User_32,2,2,3,1
FocusIn,-0.3686436,0.1964887,-0.9085525,-13.98468,9.804504,9.543861,User_32,2,2,3,1
FocusIn,-0.4638838,0.188163,-0.8656746,-13.95927,9.808278,9.523953,User_32,2,2,3,1
FocusIn,-0.3991976,0.1951265,-0.8958489,-13.97426,9.806581,9.536396,User_32,2,2,3,1
FocusIn,-0.3992547,0.1951807,-0.8958116,-13.97425,9.806592,9.536425,User_32,2,2,3,1
FocusIn,-0.440026,0.1777063,-0.8802178,-13.9607,9.807953,9.528227,User_32,2,2,3,1
FocusIn,-0.5980406,0.2453772,-0.7629727,-13.95391,9.808816,9.525754,User_32,2,2,3,1
FocusIn,-0.6289418,0.2785936,-0.7258193,-13.97708,9.8047,9.548254,User_32,2,2,3,1
FocusIn,-0.6635385,0.2774897,-0.6947656,-13.96356,9.805487,9.540267,User_32,2,2,3,1
FocusIn,-0.6763596,0.2695319,-0.6854811,-13.95467,9.805591,9.536572,User_32,2,2,3,1
FocusIn,-0.5860214,0.2784952,-0.7609265,-13.99772,9.799595,9.56862,User_32,2,2,3,1
FocusIn,-0.5857769,0.2784491,-0.7611316,-13.99773,9.799585,9.568687,User_32,2,2,3,1
FocusIn,-0.6694915,0.249083,-0.6998045,-13.95696,9.808658,9.532432,User_32,2,2,3,1
FocusIn,-0.5929015,0.2652628,-0.760325,-13.9978,9.806756,9.558961,User_32,2,2,3,1
FocusIn,-0.6253774,0.2854168,-0.726237,-13.96522,9.810802,9.530797,User_32,2,2,3,1
FocusIn,-0.6042996,0.2820952,-0.745138,-13.97513,9.809623,9.538782,User_32,2,2,3,1
FocusIn,-0.453748,0.3260363,-0.8293408,-14.0051,9.807944,9.553942,User_32,2,2,3,1
FocusIn,-0.4282521,0.3426998,-0.836138,-14.01028,9.80803,9.555028,User_32,2,2,3,1
FocusIn,-0.4600332,0.3304605,-0.8240983,-14.00731,9.808977,9.553823,User_32,2,2,3,1
FocusIn,-0.4598411,0.3308053,-0.8240671,-14.0073,9.80901,9.553783,User_32,2,2,3,1
FocusIn,-0.5261298,0.3521434,-0.7740493,-13.97173,9.81205,9.528619,User_32,2,2,3,1
FocusIn,-0.4052521,0.4253669,-0.8092038,-13.9887,9.810983,9.53792,User_32,2,2,3,1
FocusIn,-0.4049699,0.4255527,-0.8092474,-13.98868,9.810994,9.537892,User_32,2,2,3,1
FocusIn,-0.4047758,0.4257179,-0.8092577,-13.98866,9.811003,9.537869,User_32,2,2,3,1
FocusIn,-0.4822674,0.392508,-0.7831572,-13.96636,9.812844,9.524184,User_32,2,2,3,1
FocusIn,-0.4821752,0.3926815,-0.783127,-13.96635,9.812853,9.524166,User_32,2,2,3,1
FocusIn,-0.446745,0.4022731,-0.7991175,-13.97887,9.8121,9.532355,User_32,2,2,3,1
FocusIn,-0.5491144,0.4737941,-0.6884519,-13.98253,9.817399,9.538806,User_32,2,2,3,1
FocusIn,-0.5487702,0.4750139,-0.6878856,-13.98251,9.817498,9.538835,User_32,2,2,3,1
FocusIn,-0.5016599,0.4689633,-0.7269034,-14.00439,9.81709,9.556622,User_32,2,2,3,1
FocusIn,-0.5090733,0.4749801,-0.7177846,-13.99982,9.818938,9.553563,User_32,2,2,3,1
FocusIn,-0.5447814,0.5331168,-0.647295,-13.98545,9.821291,9.545195,User_32,2,2,3,1
FocusIn,-0.566123,0.6054969,-0.559347,-13.96896,9.82414,9.533189,User_32,2,2,3,1
FocusIn,-0.5549928,0.5995397,-0.5766473,-13.97546,9.825015,9.538994,User_32,2,2,3,1
FocusIn,-0.5548435,0.6000181,-0.5762933,-13.97545,9.825069,9.539017,User_32,2,2,3,1
FocusIn,-0.531342,0.6003639,-0.5976856,-13.98786,9.825543,9.54737,User_32,2,2,3,1
FocusIn,-0.3978904,0.7865419,-0.4722506,-14.00337,9.827974,9.550634,User_32,2,2,3,1
FocusIn,-0.4677761,0.6963424,-0.5442926,-14.00488,9.829565,9.558721,User_32,2,2,3,1
FocusIn,-0.4676493,0.6973026,-0.5431712,-14.00491,9.829641,9.55873,User_32,2,2,3,1
FocusIn,-0.5008018,0.7026404,-0.5054533,-13.99052,9.832164,9.545744,User_32,2,2,3,1
FocusIn,-0.5007095,0.7032635,-0.5046774,-13.99055,9.832242,9.545773,User_32,2,2,3,1
FocusIn,-0.556989,0.693737,-0.456573,-13.96098,9.83613,9.523536,User_32,2,2,3,1
