focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.6285,-0.1905752,-0.7540929,-12.36266,9.822324,9.018271,User_17,1,2,4,2
FocusIn,-0.6895555,-0.1670105,-0.7047076,-12.39333,9.804829,9.015064,User_17,1,2,4,2
FocusIn,-0.6895988,-0.1670949,-0.7046453,-12.3932,9.804755,9.015113,User_17,1,2,4,2
FocusIn,-0.6684846,-0.08619116,-0.7386997,-12.39395,9.805334,9.014926,User_17,1,2,4,2
FocusIn,-0.6606153,-0.2268771,-0.7156183,-12.39424,9.806131,9.015818,User_17,1,2,4,2
FocusIn,-0.6605125,-0.2267814,-0.7157434,-12.39421,9.80597,9.015791,User_17,1,2,4,2
FocusIn,-0.6802585,-0.07389203,-0.7292355,-12.41341,9.796204,9.037024,User_17,1,2,4,2
FocusIn,-0.6803427,-0.07365683,-0.7291808,-12.41337,9.796027,9.036998,User_17,1,2,4,2
FocusIn,-0.6704134,-0.1087189,-0.7339691,-12.41241,9.798165,9.041806,User_17,1,2,4,2
FocusIn,-0.7368805,0.195009,-0.6472822,-12.34955,9.796506,9.082719,User_17,1,2,4,2
FocusIn,-0.7743128,-0.1819968,-0.6060569,-12.36026,9.79516,9.076018,User_17,1,2,4,2
FocusIn,-0.7914458,-0.1112277,-0.6010249,-12.36035,9.79394,9.076862,User_17,1,2,4,2
FocusIn,-0.793389,-0.08044091,-0.6033621,-12.36102,9.793666,9.076728,User_17,1,2,4,2
FocusIn,-0.7852781,-0.1182641,-0.6077242,-12.36061,9.793386,9.077929,User_17,1,2,4,2
FocusIn,-0.7760114,-0.1176371,-0.6196306,-12.36027,9.793261,9.078618,User_17,1,2,4,2
FocusIn,-0.7759784,-0.1183307,-0.6195399,-12.36026,9.793252,9.078655,User_17,1,2,4,2
FocusIn,-0.784942,-0.1180833,-0.6082025,-12.36046,9.792775,9.079391,User_17,1,2,4,2
FocusIn,-0.7870763,-0.05314359,-0.6145588,-12.36069,9.792531,9.079963,User_17,1,2,4,2
FocusIn,-0.6815253,-0.2063324,-0.7020961,-12.36137,9.792333,9.081727,User_17,1,2,4,2
FocusIn,-0.6815014,-0.2063213,-0.7021225,-12.36138,9.792325,9.081718,User_17,1,2,4,2
FocusIn,-0.7161531,-0.107342,-0.6896272,-12.3529,9.793913,9.087613,User_17,1,2,4,2
FocusIn,-0.7162194,-0.1072344,-0.689575,-12.35291,9.793909,9.087608,User_17,1,2,4,2
FocusIn,-0.7504536,-0.06195903,-0.6579964,-12.35254,9.794063,9.087841,User_17,1,2,4,2
FocusIn,-0.749074,-0.09859861,-0.6550887,-12.35221,9.794106,9.087778,User_17,1,2,4,2
FocusIn,-0.7171697,-0.187426,-0.671218,-12.3577,9.793474,9.083846,User_17,1,2,4,2
FocusIn,-0.7254029,-0.09965211,-0.6810641,-12.34944,9.794606,9.089367,User_17,1,2,4,2
FocusIn,-0.7045838,0.1437756,-0.694882,-12.36055,9.791417,9.081347,User_17,1,2,4,2
FocusIn,-0.724784,0.08556826,-0.6836371,-12.36513,9.791707,9.079025,User_17,1,2,4,2
FocusIn,-0.7721114,0.01673257,-0.6352614,-12.33189,9.797275,9.100753,User_17,1,2,4,2
FocusIn,-0.7819979,0.04839034,-0.6213825,-12.34963,9.793268,9.089274,User_17,1,2,4,2
FocusIn,-0.9247078,-0.07196925,-0.373773,-12.40094,9.785499,9.049666,User_17,1,2,4,2
FocusIn,-0.7997677,-0.3455618,-0.4908496,-12.39329,9.78878,9.057337,User_17,1,2,4,2
FocusIn,-0.8000403,-0.3447503,-0.4909761,-12.39322,9.78877,9.057404,User_17,1,2,4,2
FocusIn,-0.1808002,0.1818426,-0.9665554,-12.35824,9.810382,9.008962,User_17,1,2,4,2
FocusIn,-0.6175894,-0.5742219,-0.5374252,-12.37855,9.806336,9.000774,User_17,1,2,4,2
FocusIn,-0.7305196,-0.4058672,-0.5491649,-12.36646,9.807763,9.005514,User_17,1,2,4,2
FocusIn,-0.7638515,-0.2609468,-0.5902728,-12.35195,9.81021,9.01312,User_17,1,2,4,2
FocusIn,-0.8420789,-0.1654996,-0.5133179,-12.37284,9.798645,9.034626,User_17,1,2,4,2
FocusIn,-0.8545567,-0.07816154,-0.5134316,-12.38738,9.789847,9.059973,User_17,1,2,4,2
FocusIn,-0.8634483,-0.05357933,-0.5015591,-12.39711,9.792233,9.046111,User_17,1,2,4,2
FocusIn,-0.8723386,-0.322351,-0.3675648,-12.39867,9.793345,9.050237,User_17,1,2,4,2
FocusIn,-0.7401821,-0.1578121,-0.6536099,-12.38138,9.798147,9.031536,User_17,1,2,4,2
FocusIn,-0.6432608,-0.3296022,-0.6910454,-12.38655,9.798738,9.032116,User_17,1,2,4,2
FocusIn,-0.6344297,-0.3415592,-0.6934152,-12.38766,9.798876,9.034113,User_17,1,2,4,2
FocusIn,-0.7357537,-0.1622584,-0.6575027,-12.38846,9.798966,9.035859,User_17,1,2,4,2
FocusIn,-0.7474502,-0.1827128,-0.6386771,-12.40391,9.795788,9.064244,User_17,1,2,4,2
FocusIn,-0.8106725,-0.1492241,-0.5661588,-12.38687,9.799726,9.008078,User_17,1,2,4,2
FocusIn,-0.8107232,-0.1486601,-0.5662347,-12.3869,9.799735,9.008079,User_17,1,2,4,2
FocusIn,-0.7396069,-0.1764293,-0.6494914,-12.41464,9.795329,9.060037,User_17,1,2,4,2
FocusIn,-0.6233425,-0.3611625,-0.6935235,-12.41327,9.797501,9.058562,User_17,1,2,4,2
FocusIn,-0.7376952,-0.1616854,-0.6554794,-12.4027,9.798119,9.027314,User_17,1,2,4,2
FocusIn,-0.8235338,-0.09947262,-0.5584523,-12.40282,9.798561,9.02608,User_17,1,2,4,2
FocusIn,-0.8385091,-0.05853765,-0.5417324,-12.40369,9.798553,9.026645,User_17,1,2,4,2
FocusIn,-0.8388481,-0.05791836,-0.5412739,-12.40379,9.798591,9.026621,User_17,1,2,4,2
FocusIn,-0.858996,0.02958297,-0.5111212,-12.40832,9.797141,9.04957,User_17,1,2,4,2
FocusIn,-0.8535815,0.01774593,-0.5206501,-12.38561,9.79845,9.016336,User_17,1,2,4,2
FocusIn,-0.8527394,0.01831127,-0.5219934,-12.3804,9.799187,9.008127,User_17,1,2,4,2
