focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,0.534026,-0.01674108,-0.8452863,-13.23873,9.765107,7.983756,User_6,1,1,5,1
FocusIn,0.2772591,0.04697635,-0.9596401,-13.24157,9.766547,7.983817,User_6,1,1,5,1
FocusIn,0.2202622,0.06003419,-0.9735694,-13.2448,9.768001,7.984796,User_6,1,1,5,1
FocusIn,0.2466482,0.06678963,-0.9667909,-13.27393,9.765785,7.96056,User_6,1,1,5,1
FocusIn,0.2683977,0.05419167,-0.9617702,-13.29064,9.766611,7.957171,User_6,1,1,5,1
FocusIn,0.2659521,0.05451613,-0.9624311,-13.29092,9.766656,7.957194,User_6,1,1,5,1
FocusIn,0.1887753,0.1551195,-0.9696863,-13.28675,9.772871,7.972534,User_6,1,1,5,1
FocusIn,0.211443,0.2694359,-0.9395055,-13.31028,9.771406,7.961117,User_6,1,1,5,1
FocusIn,0.1665778,0.2607451,-0.9509231,-13.2873,9.778075,7.980714,User_6,1,1,5,1
FocusIn,0.164266,0.2615033,-0.951117,-13.28765,9.778169,7.980762,User_6,1,1,5,1
FocusIn,0.1394905,0.2590101,-0.9557405,-13.27394,9.782057,7.99121,User_6,1,1,5,1
FocusIn,0.1436941,0.2653858,-0.9533564,-13.28144,9.783485,7.990068,User_6,1,1,5,1
FocusIn,0.1417187,0.2662858,-0.9534011,-13.28175,9.783593,7.990105,User_6,1,1,5,1
FocusIn,0.1844531,0.2619716,-0.9472739,-13.31673,9.782061,7.977556,User_6,1,1,5,1
FocusIn,0.1828111,0.2630715,-0.9472874,-13.31699,9.782165,7.977634,User_6,1,1,5,1
FocusIn,0.1632228,0.3156729,-0.9347143,-13.33118,9.781663,7.97308,User_6,1,1,5,1
FocusIn,0.1311416,0.3850044,-0.9135376,-13.33788,9.783238,7.973101,User_6,1,1,5,1
FocusIn,0.08301216,0.422382,-0.9025993,-13.34204,9.784966,7.973564,User_6,1,1,5,1
FocusIn,0.07201383,0.4210721,-0.9041454,-13.34377,9.787265,7.976802,User_6,1,1,5,1
FocusIn,0.03136886,0.4259154,-0.904215,-13.31486,9.794703,7.991988,User_6,1,1,5,1
FocusIn,0.01802815,0.5614703,-0.8272929,-13.36953,9.804195,8.000789,User_6,1,1,5,1
FocusIn,-0.01884066,0.6014393,-0.7986864,-13.36496,9.808844,8.010005,User_6,1,1,5,1
FocusIn,-0.3569202,0.8708732,-0.3378771,-13.35355,9.833328,8.107257,User_6,1,1,5,1
FocusIn,-0.3047845,0.8841073,-0.3541993,-13.38931,9.829741,8.135027,User_6,1,1,5,1
FocusIn,-0.4156193,0.8875313,-0.1988252,-13.33311,9.832642,8.141876,User_6,1,1,5,1
FocusIn,-0.4101755,0.8976476,-0.1611117,-13.35281,9.830973,8.148688,User_6,1,1,5,1
FocusIn,-0.3660606,0.9143661,-0.1729414,-13.39194,9.828674,8.152406,User_6,1,1,5,1
FocusIn,-0.3703905,0.9071804,-0.1995602,-13.39263,9.827716,8.156399,User_6,1,1,5,1
FocusIn,-0.3583739,0.9101757,-0.2076719,-13.39172,9.82365,8.173875,User_6,1,1,5,1
FocusIn,-0.363738,0.9093317,-0.2019973,-13.38828,9.822021,8.18099,User_6,1,1,5,1
