focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,0.1123366,-0.03747769,-0.9929584,-12.90279,9.364929,8.146764,User_33,2,1,2,2
FocusIn,0.3059744,-0.06375679,-0.949896,-12.91594,9.362403,8.131369,User_33,2,1,2,2
FocusIn,0.2669182,-0.0341262,-0.9631096,-12.9166,9.362789,8.1316,User_33,2,1,2,2
FocusIn,0.1412017,0.06471955,-0.9878577,-12.90833,9.362149,8.1341,User_33,2,1,2,2
FocusIn,0.1028384,0.05650898,-0.9930858,-12.88232,9.358775,8.144625,User_33,2,1,2,2
FocusIn,0.198719,0.08551816,-0.9763067,-12.93174,9.371575,8.13168,User_33,2,1,2,2
FocusIn,0.04281812,0.1753247,-0.9835647,-12.88928,9.366958,8.150649,User_33,2,1,2,2
FocusIn,-0.007757039,0.2884764,-0.9574429,-12.88424,9.368317,8.15494,User_33,2,1,2,2
FocusIn,-0.002022475,0.2852233,-0.9584534,-12.89444,9.371758,8.15409,User_33,2,1,2,2
FocusIn,-0.00433012,0.2885046,-0.9574633,-12.89448,9.371859,8.154284,User_33,2,1,2,2
FocusIn,-0.1434815,0.4909715,-0.8592741,-12.88581,9.376918,8.170563,User_33,2,1,2,2
FocusIn,-0.1278483,0.4930708,-0.8605301,-12.8951,9.380162,8.172581,User_33,2,1,2,2
FocusIn,-0.01712915,0.5328629,-0.8460119,-12.92321,9.388532,8.175865,User_33,2,1,2,2
FocusIn,0.01844999,0.595417,-0.8032027,-12.90907,9.386631,8.178346,User_33,2,1,2,2
FocusIn,0.01218546,0.6795959,-0.733464,-12.89758,9.387385,8.185566,User_33,2,1,2,2
FocusIn,0.1019413,0.7828127,-0.6138254,-12.92264,9.399301,8.217678,User_33,2,1,2,2
FocusIn,0.03722731,0.6211492,-0.7828006,-12.89036,9.387429,8.223614,User_33,2,1,2,2
FocusIn,0.04475138,0.6186263,-0.7843934,-12.8962,9.389231,8.222478,User_33,2,1,2,2
FocusIn,0.03780975,0.6178272,-0.7853937,-12.89502,9.388674,8.221245,User_33,2,1,2,2
FocusIn,0.03060081,0.3460034,-0.9377208,-12.91194,9.390703,8.219146,User_33,2,1,2,2
FocusIn,-0.0171948,0.3498322,-0.9366369,-12.88756,9.384439,8.218349,User_33,2,1,2,2
FocusIn,0.06245277,0.3268192,-0.9430171,-12.92625,9.394217,8.215784,User_33,2,1,2,2
FocusIn,0.06450338,0.3067727,-0.949593,-12.93147,9.395356,8.213474,User_33,2,1,2,2
FocusIn,0.08304509,0.247678,-0.9652607,-12.93062,9.394399,8.212654,User_33,2,1,2,2
FocusIn,0.07304273,0.1790258,-0.98112,-12.93384,9.394323,8.211956,User_33,2,1,2,2
FocusIn,0.2824148,0.03046993,-0.9587965,-12.93607,9.381633,8.196524,User_33,2,1,2,2
FocusIn,0.2576146,0.02534142,-0.9659089,-12.93487,9.371994,8.192307,User_33,2,1,2,2
FocusIn,0.06024377,-0.08725221,-0.9943581,-12.91079,9.352394,8.194453,User_33,2,1,2,2
FocusIn,0.0341433,-0.08619284,-0.9956795,-12.89374,9.349258,8.198612,User_33,2,1,2,2
FocusIn,0.008937951,-0.07778453,-0.9969234,-12.88464,9.347383,8.201138,User_33,2,1,2,2
FocusIn,0.03053126,-0.08433186,-0.995957,-12.89332,9.345824,8.1998,User_33,2,1,2,2
FocusIn,0.06582964,-0.09339347,-0.9934354,-12.91734,9.347165,8.192068,User_33,2,1,2,2
FocusIn,0.2633704,-0.1071003,-0.9587184,-12.93736,9.348919,8.171029,User_33,2,1,2,2
FocusIn,0.2696942,-0.1163039,-0.9558878,-12.9228,9.351501,8.148377,User_33,2,1,2,2
FocusIn,0.2713928,-0.1229369,-0.9545782,-12.92021,9.352131,8.143506,User_33,2,1,2,2
FocusIn,0.2115638,-0.1061117,-0.9715722,-12.86745,9.339674,8.104976,User_33,2,1,2,2
FocusIn,0.2111818,-0.1054064,-0.9717321,-12.86716,9.339627,8.104647,User_33,2,1,2,2
FocusIn,0.2105474,-0.1040876,-0.9720118,-12.86682,9.339541,8.104031,User_33,2,1,2,2
FocusIn,0.2101452,-0.1033781,-0.9721745,-12.86652,9.339494,8.103696,User_33,2,1,2,2
FocusIn,0.0810763,-0.0417115,-0.9958283,-12.85151,9.339828,8.086449,User_33,2,1,2,2
FocusIn,0.08903797,-0.04168894,-0.99514,-12.85668,9.340847,8.080642,User_33,2,1,2,2
FocusIn,0.1519895,-0.03933198,-0.987589,-12.89372,9.346357,8.061303,User_33,2,1,2,2
FocusIn,0.1365491,-0.04513671,-0.9895967,-12.88509,9.345399,8.061045,User_33,2,1,2,2
FocusIn,0.1371533,-0.04404408,-0.9895595,-12.90274,9.348421,8.040973,User_33,2,1,2,2
FocusIn,0.1411246,-0.05868265,-0.9882481,-12.92149,9.350353,8.032543,User_33,2,1,2,2
FocusIn,-0.1969405,-0.06937268,-0.9779439,-12.87215,9.345025,8.042166,User_33,2,1,2,2
FocusIn,-0.1983889,-0.06964739,-0.9776316,-12.87232,9.344988,8.041932,User_33,2,1,2,2
FocusIn,-0.4438694,-0.1493932,-0.8835449,-12.90531,9.342293,8.0299,User_33,2,1,2,2
FocusIn,-0.64608,-0.1049358,-0.7560095,-12.88378,9.344013,8.089128,User_33,2,1,2,2
FocusIn,-0.6532738,-0.06167296,-0.7545877,-12.91419,9.345937,8.096565,User_33,2,1,2,2
FocusIn,-0.6534804,-0.1007951,-0.7501901,-12.89834,9.348274,8.101825,User_33,2,1,2,2
FocusIn,-0.6706981,-0.09457497,-0.7356476,-12.89896,9.352956,8.115682,User_33,2,1,2,2
FocusIn,-0.6770317,-0.09373505,-0.7299581,-12.90034,9.355174,8.122979,User_33,2,1,2,2
FocusIn,-0.6695574,-0.08086939,-0.7383335,-12.91355,9.355868,8.128095,User_33,2,1,2,2
FocusIn,-0.6839018,-0.08167709,-0.7249821,-12.91181,9.35778,8.133007,User_33,2,1,2,2
FocusIn,-0.7886112,0.03701052,-0.6137556,-12.90068,9.365104,8.141697,User_33,2,1,2,2
FocusIn,-0.78899,0.03753936,-0.6132365,-12.90066,9.365172,8.141795,User_33,2,1,2,2
FocusIn,-0.7646146,0.05222099,-0.6423592,-12.92458,9.365542,8.150611,User_33,2,1,2,2
FocusIn,-0.7621819,0.05052286,-0.6453643,-12.93085,9.366284,8.153883,User_33,2,1,2,2
FocusIn,-0.7731475,0.05322958,-0.6319793,-12.92268,9.368402,8.154284,User_33,2,1,2,2
FocusIn,-0.7728615,0.02766557,-0.6339597,-12.91096,9.371601,8.15637,User_33,2,1,2,2
FocusIn,-0.7726982,0.04316836,-0.6332898,-12.90945,9.372689,8.156425,User_33,2,1,2,2
FocusIn,-0.5523781,0.09635338,-0.8279878,-12.95854,9.372125,8.173746,User_33,2,1,2,2
FocusIn,-0.3968214,0.1150188,-0.9106511,-12.95906,9.373215,8.175596,User_33,2,1,2,2
FocusIn,-0.2107011,0.1133169,-0.9709532,-12.95866,9.37414,8.175956,User_33,2,1,2,2
FocusIn,-0.1309021,0.1591593,-0.9785231,-12.93042,9.375134,8.16777,User_33,2,1,2,2
FocusIn,-0.08053742,0.1905488,-0.9783556,-12.95446,9.376348,8.176376,User_33,2,1,2,2
FocusIn,-0.06589967,0.1855202,-0.9804272,-12.95067,9.378588,8.173223,User_33,2,1,2,2
FocusIn,-0.06279664,0.1867411,-0.9803991,-12.95053,9.378757,8.173265,User_33,2,1,2,2
FocusIn,-0.08780367,0.1946536,-0.9769211,-12.94008,9.380035,8.1708,User_33,2,1,2,2
FocusIn,-0.08501596,0.1958136,-0.9769359,-12.93999,9.380126,8.170775,User_33,2,1,2,2
FocusIn,-0.03867315,0.2069497,-0.9775708,-12.94112,9.384114,8.16689,User_33,2,1,2,2
FocusIn,0.1255088,0.2246477,-0.9663196,-12.93729,9.384717,8.16652,User_33,2,1,2,2
FocusIn,0.1148915,0.2269775,-0.9670969,-12.94512,9.385766,8.166274,User_33,2,1,2,2
FocusIn,0.1360077,0.2282543,-0.964043,-12.94767,9.386525,8.164212,User_33,2,1,2,2
FocusIn,0.1232888,0.2252845,-0.9664474,-12.94545,9.386895,8.162807,User_33,2,1,2,2
FocusIn,0.08846087,0.2295939,-0.9692466,-12.92508,9.385969,8.161947,User_33,2,1,2,2
FocusIn,0.08914991,0.2300509,-0.9690751,-12.92526,9.386021,8.161808,User_33,2,1,2,2
FocusIn,0.08867697,0.2303656,-0.9690512,-12.92921,9.386591,8.160633,User_33,2,1,2,2
FocusIn,0.08067821,0.2288066,-0.9701216,-12.93843,9.388534,8.153548,User_33,2,1,2,2
FocusIn,0.0776366,0.2413625,-0.9673205,-12.9433,9.389838,8.151353,User_33,2,1,2,2
FocusIn,-0.1405736,0.284322,-0.9483607,-12.92245,9.388945,8.15375,User_33,2,1,2,2
FocusIn,-0.1412036,0.2852473,-0.9479892,-12.92264,9.388975,8.153742,User_33,2,1,2,2
